title,price,image_url,description,main_category,sub_category
Mochi Kem Trà Sữa Trân Châu,19000,http://product.hstatic.net/1000075078/product/1737355411_mochi-tra-sua_5950a2ce430440d5bbe33527b7e10021_grande.png,"Ngoài dẻo thơm, trong mát lạnh với kem vị trà sữa. Một cắn là say đắm, hai cắn là ngất ngây với trân châu giòn dai. *Bánh cần được bảo quản mát và dùng ngon nhất trong vòng 2 giờ sau khi nhận hàng.",Bánh,Bánh ngọt
Bánh Mì Que Bò Nấm Xốt Bơ,22000,http://product.hstatic.net/1000075078/product/1737355257_bmq-bo-nam_160a1e2a36b14f89b3ef0c61cda229ad_grande.png,"Bò mềm thấm vị, nấm đông cô dai giòn. Rộp rộp vỏ bánh giòn rụm nóng hổi, thêm ngấu nghiến với xốt bơ béo bùi ngon số dzách.",Bánh,Bánh mặn
Bánh Mì Que Chà Bông Phô Mai Bơ Cay,22000,http://product.hstatic.net/1000075078/product/1737355270_bmq-cha-bong-pm_34e407eef2a947f28c6e9892e47b3f68_grande.png,"Aiiiii Bánh Mì Chà Bông Phô Mai hônggg? Chà bông tơi mịn đẫm phô mai Mozzarella kéo sợi, cay hít hà. Rộp rộp vỏ bánh giòn rụm nóng hổi, thêm ngấu nghiến với xốt bơ đậm đà.",Bánh,Bánh mặn
Bánh Mì Que Pate Cột Đèn,19000,http://product.hstatic.net/1000075078/product/1737355276_bmq-pate-hai-phong_8e0d00ff7cf44d4e9eb504948ed4697c_grande.png,"Aiiiii Pate Cột Đèn đậm đà thơm béo hônggg? Rộp rộp vỏ bánh nóng hổi giòn rụm, thêm ngấu nghiến với pate cùng xốt bơ trứng đẫm vị.",Bánh,Bánh mặn
Oolong Tứ Quý Dâu Trân Châu,49000,http://product.hstatic.net/1000075078/product/1737356372_oolong-tu-quy-dau_d9633516f6f84e5eab033a9155bc2f0b_grande.png,"Sảng khoái với vị dâu chín mọng chua thanh. Nền trà Oolong Tứ Quý đậm hương, ngọt thanh hậu vị. Thêm tận hưởng với trân châu trắng giòn dai.",Trà trái cây - Hi Tea,Trà trái cây
Matcha Latte Tây Bắc Sữa Yến Mạch,55000,http://product.hstatic.net/1000075078/product/1737355652_tx-latte-sym_6b3363267ba344719e7a15d3fb3893dc_grande.png,"Vị matcha êm mượt nhờ kết hợp với sữa yến mạch. *Khuấy đều để thưởng trọn hương vị.",Matcha,
Matcha Latte Tây Bắc Sữa Yến Mạch (Nóng),55000,http://product.hstatic.net/1000075078/product/1737355641_tra-xanh-latte-sua-yen-mach-nong_9ee1ee71d1f04b11b0b66d2954e2bf87_grande.png,"Vị matcha êm mượt nhờ kết hợp với sữa yến mạch (ui da nóng quá). *Khuấy đều để thưởng trọn hương vị.",Matcha,
Trà Xanh Nước Dừa,55000,http://product.hstatic.net/1000075078/product/1723623922_tra-xanh-nuoc-dua_cc213ee317cd4fb795a597f12bd15b93_grande.jpg,"Lựa chọn đậm vị matcha nhất, dành cho ai muốn thưởng thức trọn vẹn hương vị Trà Xanh Tây Bắc. *Khuấy đều để thưởng trọn hương vị. *Thức uống không giảm được độ ngọt",Matcha,
Trà Xanh Nước Dừa Yuzu,55000,http://product.hstatic.net/1000075078/product/1723623818_tra-xanh-nuoc-dua-yuzu_57cdc8e5fa88491d92a55e85eec869a4_grande.jpg,"Vị matcha ""nhẹ đô"" cho ai thích trà trái cây. *Khuấy đều để thưởng trọn hương vị.",Matcha,
Trà sữa Oolong Nướng Trân Châu,55000,http://product.hstatic.net/1000075078/product/1737356762_ts-oolong-nuong-tran-chau_0fcda91fa6e248a39a32719791726ca0_grande.png,"Hương vị chân ái đúng gu đậm đà với trà oolong được “sao” (nướng) lâu hơn cho hương vị đậm đà, hòa quyện với sữa thơm béo mang đến cảm giác mát lạnh, lưu luyến vị trà sữa đậm đà nơi vòm họng.",Trà sữa,
Trà Sữa Oolong BLao,39000,http://product.hstatic.net/1000075078/product/1737356772_tra-sua-oolong-blao_1fba203b1c0a46f38bf16672a33bd990_grande.png,"Tận hưởng hương vị núi rừng mát lành lắng đọng trong từng ngụm Trà Sữa Oolong B’Lao của Nhà. Từng lá trà được Nhà chắt chiu từ B’Lao (Lâm Đồng), sao (rang) kỹ càng để giữ trọn vị Oolong đậm đà, quyện cùng sữa thơm béo, hấp dẫn.",Trà sữa,
Oolong Berry,69000,http://product.hstatic.net/1000075078/product/1700837685_tra-sua-oolong-berry-ly-thuy-tinh_ba865acfd16c40b8b7c066299031e88e_grande.jpg,"Cắn một cái, chua chua ngọt ngọt ngon đến từng tế bào với chiếc Mochi Kem Phúc Bồn Tử! Hút một ngụm, mê luôn Trà Oolong Sữa dịu êm quyện vị dâu, cùng lớp foam phô mai phủ vụn bánh quy phô mai mằn mặn. Món không thể thiếu đá, để ngoại hình và chất lượng được đảm bảo.",Trà trái cây - Hi Tea,Trà trái cây
Trà sữa Oolong Nướng (Nóng),55000,http://product.hstatic.net/1000075078/product/1737356755_ts-oolong-nuong-nong_f9c969a90aeb4fe19d9c1fda4ae1512a_grande.png,"Đậm đà chuẩn gu và ấm nóng - bởi lớp trà oolong nướng đậm vị hoà cùng lớp sữa thơm béo. Hương vị chân ái đúng gu đậm đà - trà oolong được ""sao"" (nướng) lâu hơn cho vị đậm đà, hoà quyện với sữa thơm ngậy. Cho từng ngụm ấm áp, lưu luyến vị trà sữa đậm đà mãi nơi cuống họng.",Trà sữa,
Cappuccino Đá,55000,http://product.hstatic.net/1000075078/product/1737357118_cappucio-da_9adfe1f331a348068d265e7ce3f5d35e_grande.png,"Capuchino là thức uống hòa quyện giữa hương thơm của sữa, vị béo của bọt kem cùng vị đậm đà từ cà phê Espresso. Tất cả tạo nên một hương vị đặc biệt, một chút nhẹ nhàng, trầm lắng và tinh tế.",Cà phê,Espresso
Caramel Macchiato Đá,65000,http://product.hstatic.net/1000075078/product/1737357135_caramel-macchiato-da_d0a3250162e6427ab8808d8bc35012ec_grande.png,"Khuấy đều trước khi sử dụng Caramel Macchiato sẽ mang đến một sự ngạc nhiên thú vị khi vị thơm béo của bọt sữa, sữa tươi, vị đắng thanh thoát của cà phê Espresso hảo hạng và vị ngọt đậm của sốt caramel được gói gọn trong một tách cà phê.",Cà phê,Espresso
Bạc Xỉu Nóng,39000,http://product.hstatic.net/1000075078/product/1737357029_bac-xiu-nong_e0a0732dee144dfda4e3cb43949ce065_grande.png,"Bạc xỉu chính là ""Ly sữa trắng kèm một chút cà phê"". Thức uống này rất phù hợp những ai vừa muốn trải nghiệm chút vị đắng của cà phê vừa muốn thưởng thức vị ngọt béo ngậy từ sữa.",Cà phê,Cà phê phin
Bạc Xỉu,39000,http://product.hstatic.net/1000075078/product/1737357020_bac-xiu-da_43a593b61b8e44379111a9ebb00904d9_grande.png,"Bạc xỉu chính là ""Ly sữa trắng kèm một chút cà phê"". Thức uống này rất phù hợp những ai vừa muốn trải nghiệm chút vị đắng của cà phê vừa muốn thưởng thức vị ngọt béo ngậy từ sữa.",Cà phê,Cà phê phin
Cà Phê Sữa Đá,39000,http://product.hstatic.net/1000075078/product/1737357012_cfsd_cae7e8bac4f74b95b3b5e3b61500b8f1_grande.png,"Cà phê Đắk Lắk nguyên chất được pha phin truyền thống kết hợp với sữa đặc tạo nên hương vị đậm đà, hài hòa giữa vị ngọt đầu lưỡi và vị đắng thanh thoát nơi hậu vị.",Cà phê,Cà phê phin
Cà Phê Đen Đá,39000,http://product.hstatic.net/1000075078/product/1737356988_cf-den-da_25422ed38d5a4696bc1af22266ac7589_grande.png,"Không ngọt ngào như Bạc sỉu hay Cà phê sữa, Cà phê đen mang trong mình phong vị trầm lắng, thi vị hơn. Người ta thường phải ngồi rất lâu mới cảm nhận được hết hương thơm ngào ngạt, phảng phất mùi cacao và cái đắng mượt mà trôi tuột xuống vòm họng.",Cà phê,Cà phê phin
Cappuccino Nóng,55000,http://product.hstatic.net/1000075078/product/1737357108_cappucino-nong_f78c106928fe4c418906763d3dfa4b29_grande.png,"Capuchino là thức uống hòa quyện giữa hương thơm của sữa, vị béo của bọt kem cùng vị đậm đà từ cà phê Espresso. Tất cả tạo nên một hương vị đặc biệt, một chút nhẹ nhàng, trầm lắng và tinh tế.",Cà phê,Espresso
Caramel Macchiato Nóng,55000,http://product.hstatic.net/1000075078/product/1737357126_caramel-macchiato-nong_92ab6d4b88dc4842b42c0ee6ad523392_grande.png,"Caramel Macchiato sẽ mang đến một sự ngạc nhiên thú vị khi vị thơm béo của bọt sữa, sữa tươi, vị đắng thanh thoát của cà phê Espresso hảo hạng và vị ngọt đậm của sốt caramel được gói gọn trong một tách cà phê.",Cà phê,Espresso
Latte Nóng,59000,http://product.hstatic.net/1000075078/product/1737357451_latte-nong_5072d19ea4af4c28a1f9f307e49d3af9_grande.png,"Một sự kết hợp tinh tế giữa vị đắng cà phê Espresso nguyên chất hòa quyện cùng vị sữa nóng ngọt ngào, bên trên là một lớp kem mỏng nhẹ tạo nên một tách cà phê hoàn hảo về hương vị lẫn nhãn quan.",Cà phê,Cà phê máy
Espresso Nóng,45000,http://product.hstatic.net/1000075078/product/1737357444_espresso-nong_2ac99445a9fc4619a45761a5023b538c_grande.png,"Một tách Espresso nguyên bản được bắt đầu bởi những hạt Arabica chất lượng, phối trộn với tỉ lệ cân đối hạt Robusta, cho ra vị ngọt caramel, vị chua dịu và sánh đặc.",Cà phê,Espresso
Cà Phê Sữa Nóng,39000,http://product.hstatic.net/1000075078/product/1737356996_cfs-nong_b67f6d43e52948209dee212446981bb5_grande.png,"Cà phê được pha phin truyền thống kết hợp với sữa đặc tạo nên hương vị đậm đà, hài hòa giữa vị ngọt đầu lưỡi và vị đắng thanh thoát nơi hậu vị.",Cà phê,Cà phê phin
Cà Phê Đen Nóng,39000,http://product.hstatic.net/1000075078/product/1737356979_cf-den-nong_3ce91ffbdc04405b93855cd3b5d5aec2_grande.png,"Không ngọt ngào như Bạc sỉu hay Cà phê sữa, Cà phê đen mang trong mình phong vị trầm lắng, thi vị hơn. Người ta thường phải ngồi rất lâu mới cảm nhận được hết hương thơm ngào ngạt, phảng phất mùi cacao và cái đắng mượt mà trôi tuột xuống vòm họng.",Cà phê,Cà phê phin
Mít Sấy,20000,http://product.hstatic.net/1000075078/product/1737355404_mit-say_9875ab69144b4fcc9d07535bfb58c92d_grande.png,"Mít sấy khô vàng ươm, giòn rụm, giữ nguyên được vị ngọt lịm của mít tươi.",Bánh,Bánh ngọt
Cà Phê Đen Đá Túi (30 gói x 16g),129000,http://product.hstatic.net/1000075078/product/1714646862_1697446642-ca-phe-den-da-tui-400x400_49fc459ba68a4bad8f67a12e3dd32ac4_grande.jpg,"Cà Phê Đen Đá hoà tan The Coffee House với 100% hạt cà phê Robusta mang đến hương vị mạnh cực bốc, đậm đắng đầy lôi cuốn, đúng gu người Việt.",Cà phê gói mang đi,
Cà Phê Đen Đá Hộp (14 gói x 16g),66000,http://product.hstatic.net/1000075078/product/1737355913_cpg-cf-den-da_86b32f9f765b4501930928b6c9902bad_grande.png,"Cà Phê Đen Đá hoà tan The Coffee House với 100% hạt cà phê Robusta mang đến hương vị mạnh cực bốc, đậm đắng đầy lôi cuốn, đúng gu người Việt.",Cà phê gói mang đi,
Cà Phê Hoà Tan Đậm Vị Việt (18 gói x 16 gam),55000,http://product.hstatic.net/1000075078/product/1714646564_1639648313-ca-phe-sua-da-hoa-tan-dam-vi-viet-400x400_17b14c9ae60b4d3d9d16d2828291b54c_grande.jpg,Bắt đầu ngày mới với tách cà phê sữa “Đậm vị Việt” mạnh mẽ sẽ giúp bạn luôn tỉnh táo và hứng khởi cho ngày làm việc thật hiệu quả.,Cà phê gói mang đi,
Cà Phê Sữa Đá Hòa Tan Túi 25x22G,127000,http://product.hstatic.net/1000075078/product/1737357663_cpg-cfsd-tui_f866066067b44f9b9258c2240a54b9ac_grande.png,"Thật dễ dàng để bắt đầu ngày mới với tách cà phê sữa đá sóng sánh, thơm ngon như cà phê pha phin. Vị đắng thanh của cà phê hoà quyện với vị ngọt béo của sữa, giúp bạn luôn tỉnh táo và hứng khởi cho ngày làm việc thật hiệu quả.",Cà phê gói mang đi,
Cà Phê Rang Xay Original 1 250G,82000,http://product.hstatic.net/1000075078/product/1737355876_cpg-cfrang-xay-original-1_c455a9b10e2b4a15a4dc891eddf10ca1_grande.png,"Cà phê Original 1 của The Coffee House với thành phần chính cà phê Robusta Đắk Lắk, vùng trồng cà phê nổi tiếng nhất Việt Nam. Bằng cách áp dụng kỹ thuật rang xay hiện đại, Cà phê Original 1 mang đến trải nghiệm tuyệt vời khi uống cà phê tại nhà với hương vị đậm đà truyền thống hợp khẩu vị của giới trẻ sành cà phê.",Cà phê gói mang đi,
Cà Phê Sữa Đá Hòa Tan (10 gói x 22g),53000,http://product.hstatic.net/1000075078/product/1737355883_cpg-cfsd-hop_a606b4630aa448ec9d00e23b5ed8dd92_grande.png,"Thật dễ dàng để bắt đầu ngày mới với tách cà phê sữa đá sóng sánh, thơm ngon như cà phê pha phin. Vị đắng thanh của cà phê hoà quyện với vị ngọt béo của sữa, giúp bạn luôn tỉnh táo và hứng khởi cho ngày làm việc thật hiệu quả.",Cà phê gói mang đi,
Spaghetti Bò Bằm,59000,http://product.hstatic.net/1000075078/product/1737355477_spaghetti_293130dd42c94b7f991ebcd01b8dfb3b_grande.png,"Sợi mì Ý mềm dai, rưới thêm sốt bò bằm cà chua sánh mịn, thơm lừng. Gắp một gắp, muốn gắp thêm mãi thôi!",Đồ ăn chế biến,
Cơm Chiên Hải Sản,49000,http://product.hstatic.net/1000075078/product/1737355484_com-chien-hs_31b4cbd34cb44927a461b2798da683aa_grande.png,"Cơm chiên đầy ắp hải sản, thêm rau củ ngũ sắc giàu vitamin. Cơm ST dẻo thơm lắm, mời bạn thưởng thức nha!",Đồ ăn chế biến,
Oolong Tứ Quý Vải,49000,http://product.hstatic.net/1000075078/product/1737356353_oolong-tu-quy-vai_f12d34a153334a7697360762675428fb_grande.png,"Đậm hương trà, thanh mát sắc xuân với Oolong Tứ Quý Vải. Cảm nhận hương hoa đầu mùa, hòa quyện cùng vị vải chín mọng căng tràn sức sống.",Trà trái cây - Hi Tea,Trà trái cây
Oolong Tứ Quý Kim Quất Trân Châu,49000,http://product.hstatic.net/1000075078/product/1737356364_oolong-kim-quat-tran-chau_52e8184ea277407b8ec80e795316b47b_grande.png,"Đậm hương trà, sảng khoái du xuân cùng Oolong Tứ Quý Kim Quất Trân Châu. Vị nước cốt kim quất tươi chua ngọt, thêm trân châu giòn dai.",Trà trái cây - Hi Tea,Trà trái cây
Hi-Tea Đá Tuyết Mận Muối Trân Châu,59000,http://product.hstatic.net/1000075078/product/1705920511_da-tuyet-man-muoi-tran-chau_8186d1d256534ec5b292ecff1deb4e10_grande.jpg,"“Have a mặn mà” từ mận muối xay cùng đá tuyết, quyện với vị trà hoa Hibiscus chua dịu và trân châu trắng giòn dai, Hi-Tea Đá Tuyết Mận Muối Trân Châu Trắng là thức uống “must try” cho những chuyến du xuân.",Trà trái cây - Hi Tea,Hi Tea
Hi-Tea Dâu Tây Mận Muối Trân Châu,49000,http://product.hstatic.net/1000075078/product/1705920578_hi-tea-dau-tay-man-muoi-tran-chau_c6012a28ce5740169473a8d52a17a735_grande.jpg,"Mặn ngọt có nhau nhờ sự kết hợp của trà hoa Hibiscus chua thanh, mận muối mằn mặn, dâu tây tươi Đà Lạt cô đặc ngọt dịu và trân châu trắng giòn dai. Nhấp một ngụm mát rượi như lạc giữa vườn xuân.",Trà trái cây - Hi Tea,Hi Tea
Hi-Tea Kim Quất Bưởi Hồng Mandarin,65000,http://product.hstatic.net/1000075078/product/1705930644_hi-tea-buoi-kim-quat-min_85c0583c04fa45b7bed203818d3c13c5_grande.jpg,"Vita-xuân tươi mới, 100% healthy từ nền trà Hi-Tea 0 caffeine, nước cốt kim quất, bưởi hồng nguyên tép và quýt mọng nước. Đó là Lộc Xinh Xinh cho mỗi ngày đều xuân thì!",Trà trái cây - Hi Tea,Hi Tea
Butter Croissant Sữa Đặc,35000,http://product.hstatic.net/1000075078/product/1737355374_croissant-sua-dac_6c48c99afd904d78b81e821df12a1dba_grande.png,"Bánh Butter Croissant bạn đã yêu, nay yêu không lối thoát khi được chấm cùng sữa đặc. Thơm bơ mịn sữa, ngọt ngào lòng nhau!",Bánh,Bánh ngọt
Trà Đào Cam Sả - Nóng,59000,http://product.hstatic.net/1000075078/product/1737356382_oolong-tu-quy-sen-nong-copy_79b957510bcb4e6f8bb7d938f0448ab9_grande.png,"Vị thanh ngọt của đào, vị chua dịu của Cam Vàng nguyên vỏ, vị chát của trà đen tươi được ủ mới mỗi 4 tiếng, cùng hương thơm nồng đặc trưng của sả chính là điểm sáng làm nên sức hấp dẫn của thức uống này.",Trà trái cây - Hi Tea,Trà trái cây
Trà Đào Cam Sả - Đá,49000,http://product.hstatic.net/1000075078/product/1737356280_tra-dao-cam-sa_9c46cceef5004e689b746e8ec0e47c34_grande.png,"Vị thanh ngọt của đào, vị chua dịu của Cam Vàng nguyên vỏ, vị chát của trà đen tươi được ủ mới mỗi 4 tiếng, cùng hương thơm nồng đặc trưng của sả chính là điểm sáng làm nên sức hấp dẫn của thức uống này.",Trà trái cây - Hi Tea,Trà trái cây
Frosty Bánh Kem Dâu,59000,http://product.hstatic.net/1000075078/product/1737355736_fosty-banh-kem-dau_82e75c2b5f134dea8500b6fa5fd7d0fb_grande.png,"Bồng bềnh như một đám mây, Đá Xay Frosty Bánh Kem Dâu vừa ngon mắt vừa chiều vị giác bằng sự ngọt ngào. Bắt đầu bằng cái chạm môi với lớp kem whipping cream, cảm nhận ngay vị beo béo lẫn sốt dâu thơm lừng. Sau đó, hút một ngụm là cuốn khó cưỡng bởi đá xay mát lạnh quyện cùng sốt dâu ngọt dịu. Lưu ý: Khuấy đều phần đá xay trước khi dùng",Thức uống đá xay,Đá xay
Matcha Latte Tây Bắc (Nóng),49000,http://product.hstatic.net/1000075078/product/1737355604_tx-latte-nong_1de56d94ccf446b9ac8826653bef5842_grande.png,"Trà Xanh Latte (Nóng) là phiên bản rõ vị trà nhất. Nhấp một ngụm, bạn chạm ngay vị trà xanh Tây Bắc chát nhẹ hoà cùng sữa nguyên kem thơm béo, đọng lại hậu vị ngọt ngào, êm dịu. Không chỉ là thức uống tốt cho sức khoẻ, Trà Xanh Latte (Nóng) còn là cái ôm ấm áp của đồng bào Tây Bắc gửi cho người miền xuôi.",Matcha,
Frosty Trà Xanh,59000,http://product.hstatic.net/1000075078/product/1737355584_frosty-tx_a76cfe4994fc418d9298a932bf9854d7_grande.png,"Đá Xay Frosty Trà Xanh như lời mời mộc mạc, ghé thăm Tây Bắc vào những ngày tiết trời se lạnh, núi đèo mây phủ. Vị chát dịu, ngọt thanh của trà xanh Tây Bắc kết hợp đá xay sánh mịn, whipping cream bồng bềnh và bột trà xanh trên cùng thêm đậm vị. Đây không chỉ là thức uống mát lạnh bật mood, mà còn tốt cho sức khoẻ nhờ giàu vitamin và các chất chống oxy hoá.",Thức uống đá xay,Đá xay
Matcha Latte Tây Bắc,45000,http://product.hstatic.net/1000075078/product/1737355612_tx-latte_6909ebc57c8e4b1e9aeef7e5ecdd5f9d_grande.png,"Best seller của Nhà - rất phù hợp cho ai muốn nhập môn matcha. *Khuấy đều để thưởng trọn hương vị.",Matcha,
Trà Xanh Tây Bắc,69000,http://product.hstatic.net/1000075078/product/1700837665_tra-sua-tra-xanh-tay-bac-ly-thuy-tinh_ce58610fc6ae4af4ae6b3aa9c8dccfde_grande.jpg,"Không thể rời môi với Mochi Kem Matcha dẻo mịn, núng nính. Trà Xanh Tây Bắc vị mộc hoà quyện sữa tươi, foam phô mai beo béo và vụn bánh quy giòn tan, là lựa chọn đậm không khí lễ hội. Món không thể thiếu đá, để ngoại hình và chất lượng được đảm bảo.",Matcha,
Butter Croissant,29000,http://product.hstatic.net/1000075078/product/1737355250_croissant_edd90f1e46f84bcb978bdfc6a0fa0141_grande.png,"Cắn một miếng, vỏ bánh ngàn lớp giòn thơm bơ béo, rồi mịn tan trong miệng. Cực dính khi nhâm nhi Butter Croissant với cà phê hoặc chấm cùng các món nước có foam trứng của Nhà",Bánh,Bánh mặn
Hi-Tea Đào,49000,http://product.hstatic.net/1000075078/product/1737356480_hi-tea-dao_e0d14e25a6af4a2f8e551af12d9b3b95_grande.png,"Sự kết hợp ăn ý giữa Đào cùng trà hoa Hibiscus, tạo nên tổng thể hài hoà dễ gây “thương nhớ” cho team thích món thanh mát, có vị chua nhẹ.",Trà trái cây - Hi Tea,Hi Tea
Hi-Tea Vải,49000,http://product.hstatic.net/1000075078/product/1737356461_hi-tea-vai_5cae2b0e46b846c6b596f5bdf61a43a2_grande.png,"Chút ngọt ngào của Vải, mix cùng vị chua thanh tao từ trà hoa Hibiscus, mang đến cho bạn thức uống đúng chuẩn vừa ngon, vừa healthy.",Trà trái cây - Hi Tea,Hi Tea
Hi-Tea Yuzu Trân Châu,49000,http://product.hstatic.net/1000075078/product/1737365865_hi-tea-yuzu-tran-chau_e534c7fd2f9648dd8c38af0c51e10725_grande.png,"Không chỉ nổi bật với sắc đỏ đặc trưng từ trà hoa Hibiscus, Hi-Tea Yuzu còn gây ấn tượng với topping Yuzu (quýt Nhật) lạ miệng, kết hợp cùng trân châu trắng dai giòn sần sật, nhai vui vui.",Trà trái cây - Hi Tea,Hi Tea
Mousse Matcha,29000,http://product.hstatic.net/1000075078/product/5d92fbc89e12b47db8cabbd2_matcha_942506_35f45bdaa8944748bc7371612704c786_grande.jpg,Khám phá từng tầng vị trà xanh thơm lừng xen kẽ lớp kéo béo dịu với đậu đỏ.,Bánh,Bánh ngọt
Mousse Tiramisu,35000,http://product.hstatic.net/1000075078/product/1737355334_tiramisu_02b51263d15e419aa7da19528c369fa3_grande.png,"Hương vị dễ ghiền được tạo nên bởi chút đắng nhẹ của cà phê, lớp kem trứng béo ngọt dịu hấp dẫn",Bánh,Bánh ngọt
Mousse Gấu Chocolate,39000,http://product.hstatic.net/1000075078/product/1737355325_mouse-gau-choco_5955c2483e1c47ad923d5fb402aa038e_grande.png,"Với vẻ ngoài đáng yêu và hương vị ngọt ngào, thơm béo nhất định bạn phải thử ít nhất 1 lần.",Bánh,Bánh ngọt
Mochi Kem Matcha,19000,http://product.hstatic.net/1000075078/product/1737355341_mochi-matcha_c8c0db21b77349b0adb23bd6ff0da2a2_grande.png,"Bao bọc bởi lớp vỏ Mochi dẻo thơm, bên trong là lớp kem lạnh cùng nhân trà xanh đậm vị. Gọi 1 chiếc Mochi cho ngày thật tươi mát. Sản phẩm phải bảo quán mát và dùng ngon nhất trong 2h sau khi nhận hàng.",Bánh,Bánh ngọt
Mochi Kem Chocolate,19000,http://product.hstatic.net/1000075078/product/1737355348_mochi-choco_625d69b4f92d4cb3b2814bcb24a094ba_grande.png,"Bao bọc bởi lớp vỏ Mochi dẻo thơm, bên trong là lớp kem lạnh cùng nhân chocolate độc đáo. Gọi 1 chiếc Mochi cho ngày thật tươi mát. Sản phẩm phải bảo quán mát và dùng ngon nhất trong 2h sau khi nhận hàng.",Bánh,Bánh ngọt
Mochi Kem Việt Quất,19000,http://product.hstatic.net/1000075078/product/1737355361_mochi-viet-quat_059d54c9074b4ad89f8a27eff9e3e709_grande.png,"Bao bọc bởi lớp vỏ Mochi dẻo thơm, bên trong là lớp kem lạnh cùng nhân việt quất đặc trưng thơm thơm, ngọt dịu. Gọi 1 chiếc Mochi cho ngày thật tươi mát. Sản phẩm phải bảo quán mát và dùng ngon nhất trong 2h sau khi nhận hàng.",Bánh,Bánh ngọt
Mochi Kem Phúc Bồn Tử,19000,http://product.hstatic.net/1000075078/product/1737355355_mochi-phuc-bon-tu_ac9e0f60acbf43f89a7f6b1a0bcc743c_grande.png,"Bao bọc bởi lớp vỏ Mochi dẻo thơm, bên trong là lớp kem lạnh cùng nhân phúc bồn tử ngọt ngào. Gọi 1 chiếc Mochi cho ngày thật tươi mát. Sản phẩm phải bảo quán mát và dùng ngon nhất trong 2h sau khi nhận hàng.",Bánh,Bánh ngọt
Chà Bông Phô Mai,39000,http://product.hstatic.net/1000075078/product/1737355233_bami-cha-bong-pho-mai_9a05ef95cc8649b6b9292a027f5208dd_grande.png,"Chiếc bánh với lớp phô mai vàng sánh mịn bên trong, được bọc ngoài lớp vỏ xốp mềm thơm lừng. Thêm lớp chà bông mằn mặn hấp dẫn bên trên.",Bánh,Bánh mặn
Croissant trứng muối,39000,http://product.hstatic.net/1000075078/product/1737355222_croissant-trung-muoi_9df010a37f134f2d9510881b5b7f082e_grande.png,"Croissant trứng muối thơm lừng, bên ngoài vỏ bánh giòn hấp dẫn bên trong trứng muối vị ngon khó cưỡng.",Bánh,Bánh mặn
Chocolate Nóng,55000,http://product.hstatic.net/1000075078/product/1737355571_chocolate-nong_c7331fe6900b403c83633a435f3527ac_grande.png,"Bột chocolate nguyên chất hoà cùng sữa tươi béo ngậy. Vị ngọt tự nhiên, không gắt cổ, để lại một chút đắng nhẹ, cay cay trên đầu lưỡi.",Trà sữa,
Chocolate Đá,55000,http://product.hstatic.net/1000075078/product/1737355560_chocolate-da_93e902464187494a8d309db309796206_grande.png,"Bột chocolate nguyên chất hoà cùng sữa tươi béo ngậy, ấm nóng. Vị ngọt tự nhiên, không gắt cổ, để lại một chút đắng nhẹ, cay cay trên đầu lưỡi.",Trà sữa,
